elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW2,87340,49M 1100y,489462.4,151238.3,-0.719441,51.253302,SU8946251238,0
GTW2,87450,49M 1210y,489400.1,151317.0,-0.720315,51.254019,SU8940051317,0
GTW2,87560,49M 1320y,489342.7,151399.4,-0.721116,51.254768,SU8934251399,0
GTW2,87670,49M 1430y,489290.5,151485.3,-0.721842,51.255549,SU8929051485,0
GTW2,87780,49M 1540y,489244.1,151574.4,-0.722485,51.256357,SU8924451574,0
GTW2,87890,49M 1650y,489203.0,151666.1,-0.723051,51.257188,SU8920351666,0
GTW2,88000,50M 0000y,489168.1,151760.3,-0.723528,51.258041,SU8916851760,0
GTW2,88110,50M 0110y,489139.1,151856.5,-0.723919,51.25891,SU8913951856,0
GTW2,88220,50M 0220y,489113.1,151953.5,-0.724268,51.259786,SU8911351953,0
GTW2,88330,50M 0330y,489087.0,152050.6,-0.724617,51.260663,SU8908752050,0
GTW2,88440,50M 0440y,489061.0,152147.6,-0.724965,51.261539,SU8906152147,-1
GTW2,88550,50M 0550y,489035.1,152244.3,-0.725313,51.262412,SU8903552244,-1
GTW2,88660,50M 0660y,489009.2,152340.9,-0.72566,51.263285,SU8900952340,-1
GTW2,88770,50M 0770y,488983.3,152437.5,-0.726007,51.264158,SU8898352437,-1
GTW2,88880,50M 0880y,488957.3,152534.2,-0.726355,51.265031,SU8895752534,-1
GTW2,88990,50M 0990y,488931.2,152631.3,-0.726705,51.265908,SU8893152631,0
GTW2,89100,50M 1100y,488905.1,152728.4,-0.727056,51.266785,SU8890552728,0
GTW2,89210,50M 1210y,488879.0,152825.5,-0.727406,51.267662,SU8887852825,0
GTW2,89320,50M 1320y,488852.8,152922.6,-0.727756,51.268539,SU8885252922,0
GTW2,89430,50M 1430y,488826.7,153019.9,-0.728107,51.269417,SU8882653019,0
GTW2,89540,50M 1540y,488800.5,153117.1,-0.728458,51.270295,SU8880053117,0
GTW2,89650,50M 1650y,488774.0,153214.2,-0.728814,51.271173,SU8877453214,0
GTW2,89760,51M 0000y,488747.4,153311.3,-0.729171,51.27205,SU8874753311,0
GTW2,89870,51M 0110y,488720.8,153408.4,-0.729528,51.272927,SU8872053408,0
GTW2,89980,51M 0220y,488691.9,153504.7,-0.729918,51.273797,SU8869153504,0
GTW2,90090,51M 0330y,488658.9,153599.8,-0.730368,51.274657,SU8865853599,0
GTW2,90200,51M 0440y,488625.8,153694.8,-0.730818,51.275517,SU8862553694,0
GTW2,90310,51M 0550y,488592.8,153789.9,-0.731269,51.276377,SU8859253789,0
GTW2,90420,51M 0660y,488559.7,153885.0,-0.731719,51.277237,SU8855953885,0
GTW2,90530,51M 0770y,488526.6,153980.1,-0.73217,51.278097,SU8852653980,0
